viewer_id,age,gender,city,country,subscription_tier,segment,signup_date,is_active
V0145,27,Other,Dallas,US,Free,Weekend-Only,2024-05-15,True
V0146,25,F,London,US,Family,New-User,2024-02-25,True
V0147,56,Other,Sydney,US,Basic,Weekend-Only,2023-12-21,True
V0148,39,F,New York,CA,Family,Casual,2022-05-26,True
V0149,23,Other,Mumbai,US,Family,Power-User,2022-12-16,True
V0150,41,F,Sydney,US,Free,Casual,2022-06-09,True
V0151,57,M,Toronto,IN,Family,Power-User,2023-09-14,False
V0152,44,F,Houston,US,Free,Weekend-Only,2023-03-17,True
V0153,36,Other,Toronto,US,Premium,Casual,2022-08-14,False
V0154,56,M,New York,US,Basic,Binge-Watcher,2024-02-22,True
V0155,36,F,Los Angeles,IN,Basic,Binge-Watcher,2023-01-25,True
V0156,50,Other,Toronto,US,Free,Power-User,2024-06-01,True
V0157,45,M,Dallas,US,Premium,New-User,2023-03-16,False
V0158,63,Other,San Antonio,US,Family,Casual,2022-11-29,True
V0159,57,F,Sydney,US,Free,Power-User,2024-05-14,True
V0160,33,F,London,US,Free,Power-User,2024-06-10,True
V0161,39,M,Philadelphia,US,Free,New-User,2023-10-11,True
V0162,51,Other,Houston,US,Premium,Weekend-Only,2024-01-15,True
V0163,33,M,Chicago,US,Basic,New-User,2022-06-06,True
V0164,29,Other,Dallas,US,Family,New-User,2023-10-21,True
V0165,58,F,Chicago,US,Family,Power-User,2023-10-09,True
V0166,35,Other,New York,US,Free,Weekend-Only,2023-04-18,False
V0167,20,M,Philadelphia,US,Free,Casual,2023-09-22,False
V0168,47,Other,Mumbai,US,Free,Power-User,2024-04-09,True
V0169,38,Other,Dallas,US,Free,Power-User,2022-04-16,True
V0170,63,M,Mumbai,US,Free,Binge-Watcher,2023-12-26,False
V0171,46,Other,Mumbai,US,Premium,Weekend-Only,2022-10-17,False
V0172,44,F,Toronto,US,Premium,Casual,2022-12-04,True
V0173,53,Other,San Antonio,US,Basic,Weekend-Only,2022-03-25,True
V0174,40,F,Toronto,US,Family,Binge-Watcher,2023-09-02,True
V0175,37,Other,San Antonio,US,Premium,Binge-Watcher,2023-11-18,True
V0176,59,Other,San Antonio,US,Free,Weekend-Only,2022-11-13,True
V0177,31,F,Dallas,CA,Basic,Casual,2022-10-30,True
V0178,50,Other,Sydney,US,Free,Weekend-Only,2024-06-16,True
V0179,56,F,Chicago,CA,Family,Casual,2023-02-25,True
V0180,61,Other,Houston,US,Premium,Power-User,2022-08-28,True
V0181,37,F,Houston,US,Family,Power-User,2024-02-27,True
V0182,42,Other,Mumbai,US,Basic,Binge-Watcher,2024-03-31,True
V0183,34,M,Toronto,US,Premium,New-User,2022-04-16,True
V0184,36,M,Chicago,US,Basic,Power-User,2022-04-04,True
V0185,46,F,New York,US,Family,New-User,2023-01-18,True
V0186,42,M,Philadelphia,US,Premium,Casual,2024-05-09,True
V0187,27,M,New York,US,Family,Binge-Watcher,2024-02-17,False
V0188,46,Other,New York,US,Free,Weekend-Only,2022-08-09,True
V0189,53,Other,London,US,Free,Weekend-Only,2022-09-01,True
V0190,25,M,Houston,US,Family,Casual,2022-04-24,False
V0191,56,Other,New York,US,Basic,Binge-Watcher,2022-10-26,False
V0192,18,Other,Philadelphia,US,Family,Binge-Watcher,2023-11-12,True
V0193,51,F,Los Angeles,US,Free,Power-User,2024-06-13,False
V0194,20,Other,San Antonio,US,Premium,Casual,2023-01-01,True
V0195,40,M,Sydney,US,Free,New-User,2024-01-23,True
V0196,26,M,Philadelphia,US,Basic,Power-User,2023-12-14,False
V0197,58,M,Chicago,IN,Free,Weekend-Only,2022-07-26,True
V0198,30,M,Philadelphia,US,Family,New-User,2023-04-30,True
V0199,20,Other,Houston,US,Free,Weekend-Only,2022-10-07,True
V0200,41,F,San Antonio,US,Family,Weekend-Only,2022-07-11,False
V0201,62,F,Philadelphia,US,Premium,Casual,2024-01-15,False
V0202,23,F,London,US,Basic,New-User,2022-10-28,True
V0203,24,M,Philadelphia,US,Premium,Power-User,2023-09-10,False
V0204,28,Other,Dallas,US,Free,Weekend-Only,2023-09-22,False
V0205,35,Other,New York,IN,Premium,New-User,2024-03-31,True
V0206,19,M,London,US,Family,Casual,2022-05-10,True
V0207,33,Other,Philadelphia,US,Free,New-User,2022-06-07,False
V0208,41,F,Dallas,US,Basic,New-User,2023-01-11,False
V0209,38,Other,Phoenix,US,Free,Casual,2024-01-24,True
V0210,49,Other,San Antonio,US,Free,Weekend-Only,2024-03-04,True
V0211,63,F,Houston,US,Premium,Power-User,2022-07-24,True
V0212,26,M,Dallas,IN,Free,Weekend-Only,2023-11-15,True
V0213,63,M,Mumbai,US,Premium,Binge-Watcher,2023-12-30,True
V0214,41,Other,Houston,CA,Basic,Binge-Watcher,2024-03-20,False
V0215,19,F,Mumbai,US,Family,New-User,2022-05-13,True
V0216,22,F,San Antonio,US,Family,New-User,2023-02-25,False
V0217,54,M,Chicago,US,Free,Power-User,2023-04-23,True
V0218,26,Other,Toronto,US,Basic,Power-User,2023-05-30,True
V0219,25,Other,Chicago,US,Basic,Weekend-Only,2023-12-28,True
V0220,40,Other,Phoenix,US,Premium,Binge-Watcher,2023-10-13,True
V0221,26,Other,Phoenix,US,Free,New-User,2023-10-19,True
V0222,55,Other,Chicago,AU,Free,Casual,2022-03-25,True
V0223,59,Other,Phoenix,US,Family,New-User,2023-10-17,True
V0224,49,Other,Mumbai,US,Premium,Power-User,2022-09-08,False
V0225,37,F,Los Angeles,US,Basic,Power-User,2023-03-02,False
V0226,47,M,Philadelphia,US,Premium,Weekend-Only,2024-01-22,True
V0227,43,M,Philadelphia,US,Free,Weekend-Only,2022-09-05,False
V0228,25,F,Dallas,US,Free,Casual,2022-10-25,False
V0229,57,F,Houston,US,Basic,Weekend-Only,2023-08-15,True
V0230,30,M,Dallas,US,Family,Power-User,2024-06-19,True
V0231,49,M,Los Angeles,US,Family,Binge-Watcher,2022-08-09,True
V0232,21,M,Phoenix,US,Family,Weekend-Only,2023-07-04,True
V0233,24,F,Chicago,US,Premium,Power-User,2023-01-10,True
V0234,43,M,London,US,Premium,New-User,2022-10-23,True
V0235,42,Other,Dallas,US,Premium,New-User,2023-11-28,True
V0236,26,M,San Antonio,US,Premium,New-User,2023-01-10,True
V0237,30,Other,Mumbai,US,Free,Casual,2022-02-09,True
V0238,63,F,Dallas,US,Basic,New-User,2023-06-12,True
V0239,38,Other,Philadelphia,AU,Premium,New-User,2024-04-28,False
V0240,63,Other,Phoenix,US,Free,Weekend-Only,2022-12-06,True
V0241,44,Other,Phoenix,US,Free,New-User,2023-05-01,True
V0242,59,Other,London,US,Free,New-User,2023-05-07,True
V0243,51,Other,Sydney,US,Family,Binge-Watcher,2024-04-21,True
V0244,20,Other,Sydney,UK,Family,Weekend-Only,2023-03-05,True
V0245,44,Other,Houston,US,Family,Casual,2023-12-24,True
V0246,51,M,Mumbai,US,Family,New-User,2023-01-21,True
V0247,29,F,Mumbai,US,Premium,Weekend-Only,2023-09-17,False
V0248,30,M,Phoenix,US,Basic,Weekend-Only,2024-02-29,True
V0249,63,M,Sydney,US,Premium,Power-User,2022-12-24,True
V0250,36,M,London,US,Family,Power-User,2024-04-18,True
V0251,27,F,New York,US,Free,Weekend-Only,2023-03-29,True
V0252,48,M,Houston,US,Premium,New-User,2023-12-14,True
V0253,26,M,London,US,Basic,Binge-Watcher,2022-02-21,True
V0254,58,M,New York,AU,Family,Casual,2023-11-29,True
V0255,18,Other,Chicago,US,Family,Power-User,2023-10-29,True
V0256,36,F,Phoenix,US,Free,New-User,2022-08-26,True
V0257,29,F,Chicago,US,Free,Power-User,2024-03-17,False
V0258,29,Other,Phoenix,US,Free,Weekend-Only,2023-08-05,True
V0259,39,F,Dallas,US,Family,Binge-Watcher,2024-05-21,False
V0260,35,M,Los Angeles,US,Family,Weekend-Only,2024-01-06,True
V0261,18,Other,Philadelphia,US,Basic,Binge-Watcher,2023-09-18,False
V0262,45,Other,Philadelphia,UK,Basic,Binge-Watcher,2023-05-04,True
V0263,33,M,Phoenix,US,Family,Weekend-Only,2022-12-04,True
V0264,55,Other,London,AU,Basic,Casual,2023-11-15,True
V0265,47,F,Chicago,US,Premium,Casual,2023-10-17,True
V0266,41,Other,Houston,US,Basic,Power-User,2022-06-06,False
V0267,56,F,San Antonio,US,Family,New-User,2024-04-01,True
V0268,33,Other,London,US,Free,New-User,2023-04-03,True
V0269,22,Other,Los Angeles,CA,Basic,Binge-Watcher,2022-12-02,False
V0270,25,Other,Houston,US,Family,Casual,2023-06-07,False
V0271,21,F,Chicago,US,Family,New-User,2022-03-01,False
V0272,61,F,Sydney,AU,Free,Binge-Watcher,2023-08-16,True
V0273,20,F,Philadelphia,US,Free,Casual,2023-04-29,True
V0274,36,F,Chicago,US,Family,Weekend-Only,2023-01-27,False
V0275,42,F,Los Angeles,US,Basic,Weekend-Only,2022-05-02,True
V0276,52,F,Mumbai,CA,Free,Casual,2022-11-02,False
V0277,61,Other,Mumbai,US,Family,Binge-Watcher,2022-09-11,False
V0278,40,M,Phoenix,UK,Free,Power-User,2023-09-22,True
V0279,33,M,Los Angeles,UK,Family,New-User,2023-11-20,True
V0280,33,Other,New York,US,Basic,New-User,2022-08-11,True
V0281,26,Other,Phoenix,US,Premium,New-User,2023-09-05,True
V0282,33,F,Chicago,US,Basic,Power-User,2022-11-04,True
V0283,21,Other,London,US,Basic,Power-User,2023-07-24,False
V0284,21,F,Toronto,US,Premium,Power-User,2023-02-23,True
V0285,37,F,Chicago,US,Family,Binge-Watcher,2024-05-19,True
V0286,37,Other,Chicago,US,Free,New-User,2023-02-27,False
V0287,53,Other,Chicago,US,Premium,Binge-Watcher,2022-12-05,True
V0288,46,F,Los Angeles,US,Basic,Casual,2022-10-02,False
V0289,61,Other,London,UK,Basic,New-User,2024-01-12,True
V0290,48,M,Philadelphia,US,Free,Binge-Watcher,2022-07-14,True
V0291,48,M,Sydney,US,Basic,Power-User,2022-09-03,True
V0292,36,F,Dallas,US,Premium,Weekend-Only,2022-09-25,True
V0293,50,F,Dallas,IN,Premium,Binge-Watcher,2023-01-15,True
V0294,44,M,London,US,Basic,Casual,2022-09-25,False
V0295,36,M,Houston,US,Family,New-User,2024-05-03,True
V0296,49,Other,Toronto,US,Premium,Weekend-Only,2024-02-21,False
V0297,64,Other,Sydney,US,Basic,Weekend-Only,2022-06-23,True
V0298,64,Other,Dallas,UK,Free,Casual,2024-04-17,True
V0299,18,F,Chicago,US,Basic,Casual,2023-12-26,True
V0300,18,M,Mumbai,US,Free,New-User,2023-10-16,False
V0301,60,F,New York,IN,Free,Casual,2023-06-27,True
V0302,52,F,New York,US,Family,Binge-Watcher,2022-04-20,True
V0303,51,M,Houston,AU,Premium,Weekend-Only,2024-03-25,False
V0304,23,F,San Antonio,US,Basic,Binge-Watcher,2022-11-04,True
V0305,59,Other,New York,IN,Family,New-User,2023-05-03,True
V0306,58,M,Sydney,IN,Family,Weekend-Only,2023-08-03,True
V0307,51,M,Houston,US,Family,Weekend-Only,2022-02-17,True
V0308,61,F,Mumbai,US,Free,Binge-Watcher,2024-05-20,True
V0309,19,M,London,IN,Free,Weekend-Only,2022-06-16,True
V0310,54,F,Toronto,US,Premium,Power-User,2024-02-13,True
V0311,62,Other,Los Angeles,US,Premium,Casual,2022-04-11,False
V0312,32,M,Philadelphia,US,Family,Weekend-Only,2022-01-31,True
V0313,46,F,Houston,US,Family,Power-User,2022-07-10,False
V0314,23,Other,Phoenix,US,Free,Casual,2022-10-02,True
V0315,42,Other,Toronto,IN,Premium,Weekend-Only,2022-04-20,True
V0316,18,F,Dallas,US,Premium,Casual,2022-05-16,True
V0317,29,F,Dallas,US,Family,Casual,2022-01-27,True
V0318,40,Other,Los Angeles,US,Premium,Power-User,2022-01-13,True
V0319,44,F,Los Angeles,US,Basic,New-User,2023-06-18,True
V0320,61,F,Chicago,AU,Premium,Power-User,2022-05-30,True
V0321,28,F,Phoenix,US,Family,Casual,2023-01-05,True
V0322,33,Other,Toronto,US,Basic,Power-User,2022-04-20,True
V0323,37,M,San Antonio,US,Family,Weekend-Only,2023-03-27,True
V0324,45,Other,London,AU,Basic,Power-User,2022-11-18,True
V0325,43,F,Phoenix,US,Family,New-User,2024-03-11,True
V0326,38,F,Phoenix,US,Family,Weekend-Only,2022-04-27,True
V0327,55,Other,Chicago,US,Free,Power-User,2023-12-27,True
V0328,46,F,Sydney,IN,Family,Binge-Watcher,2023-10-11,True
V0329,33,F,Toronto,IN,Family,Casual,2023-04-05,False
V0330,55,F,Mumbai,US,Family,New-User,2022-02-07,True
V0331,62,Other,London,US,Free,Casual,2024-02-27,True
V0332,60,Other,Philadelphia,UK,Family,Weekend-Only,2024-03-26,False
V0333,24,M,Los Angeles,US,Basic,Power-User,2023-01-19,False
V0334,47,Other,London,US,Basic,Weekend-Only,2022-01-26,False
V0335,24,F,San Antonio,US,Free,Casual,2024-05-01,True
V0336,40,F,Philadelphia,US,Basic,New-User,2023-05-10,True
V0337,48,M,Dallas,US,Family,Weekend-Only,2022-03-10,True
V0338,20,Other,Los Angeles,AU,Free,Binge-Watcher,2024-01-29,True
V0339,51,M,Mumbai,IN,Family,Binge-Watcher,2024-03-27,False
V0340,58,M,Chicago,US,Family,Power-User,2022-01-30,True
V0341,46,Other,San Antonio,US,Basic,Binge-Watcher,2022-10-13,True
V0342,54,M,Mumbai,AU,Basic,Power-User,2022-04-27,True
V0343,60,F,Mumbai,US,Premium,New-User,2023-02-02,False
V0344,55,M,Philadelphia,US,Family,New-User,2022-06-26,True
V0345,57,Other,Los Angeles,US,Premium,Casual,2022-09-02,True
V0346,25,M,Philadelphia,US,Family,Power-User,2023-09-03,True
V0347,54,F,San Antonio,CA,Basic,Power-User,2022-10-23,True
V0348,29,F,Dallas,US,Premium,Casual,2023-05-12,True
V0349,30,F,Mumbai,US,Family,Power-User,2023-12-03,False
V0350,44,Other,Dallas,US,Free,New-User,2022-02-01,True
V0351,36,M,Phoenix,US,Premium,Binge-Watcher,2024-03-10,False
V0352,54,Other,Dallas,US,Free,New-User,2022-04-27,True
V0353,52,F,Mumbai,US,Free,Power-User,2023-07-14,True
V0354,45,M,Sydney,US,Basic,Weekend-Only,2024-06-14,True
V0355,46,F,Philadelphia,US,Free,Power-User,2024-06-05,True
V0356,33,M,Sydney,US,Premium,New-User,2023-10-10,False
V0357,28,Other,Chicago,US,Basic,Casual,2023-08-07,True
V0358,52,F,London,US,Premium,Weekend-Only,2022-10-24,True
V0359,50,Other,Los Angeles,IN,Free,Weekend-Only,2024-06-06,True
V0360,62,M,Houston,AU,Basic,Power-User,2023-05-17,True
V0361,54,Other,Phoenix,US,Family,Power-User,2022-03-19,True
V0362,43,Other,Sydney,US,Premium,Power-User,2023-05-15,True
V0363,55,M,Sydney,IN,Premium,Casual,2024-03-25,False
V0364,31,F,Houston,US,Premium,Weekend-Only,2022-12-12,True
V0365,54,F,Philadelphia,US,Free,Casual,2022-04-12,False
V0366,19,M,Chicago,US,Free,Power-User,2022-07-27,True
V0367,59,F,Chicago,US,Premium,Casual,2023-11-02,True
V0368,34,M,Philadelphia,US,Basic,Casual,2023-02-10,True
V0369,64,Other,Houston,US,Free,Casual,2022-01-02,True
V0370,48,M,Chicago,US,Family,Casual,2022-01-09,True
V0371,25,F,Sydney,UK,Basic,Power-User,2022-04-02,True
V0372,24,F,Philadelphia,US,Basic,Power-User,2024-03-03,True
V0373,59,Other,Chicago,UK,Basic,Power-User,2022-12-26,True
V0374,58,Other,Chicago,US,Family,Binge-Watcher,2022-03-30,True
V0375,26,M,London,US,Premium,Power-User,2022-11-19,True
V0376,33,F,Toronto,AU,Free,Weekend-Only,2022-07-30,True
V0377,43,F,Toronto,CA,Family,Power-User,2022-04-26,True
V0378,49,Other,London,UK,Premium,Weekend-Only,2022-05-16,False
V0379,54,F,Philadelphia,US,Basic,Power-User,2024-02-28,True
V0380,19,Other,Los Angeles,CA,Free,Casual,2024-03-19,False
V0381,50,F,Toronto,US,Family,Power-User,2023-12-20,False
V0382,23,Other,Mumbai,US,Basic,Weekend-Only,2022-03-27,True
V0383,23,Other,Houston,US,Basic,New-User,2022-12-01,False
V0384,55,Other,Toronto,US,Free,Weekend-Only,2023-12-17,False
V0385,64,M,New York,US,Family,Casual,2023-04-10,True
V0386,37,Other,Sydney,US,Basic,Casual,2022-01-13,True
V0387,62,M,Chicago,US,Premium,New-User,2023-06-14,True
V0388,28,F,Chicago,US,Premium,Casual,2024-02-29,True
V0389,39,F,Phoenix,US,Premium,New-User,2023-10-05,True
V0390,49,F,Mumbai,US,Family,New-User,2022-06-20,True
V0391,28,F,Los Angeles,US,Free,Binge-Watcher,2024-01-29,True
V0392,20,M,Houston,AU,Family,Binge-Watcher,2022-07-03,True
V0393,53,Other,Sydney,US,Basic,Weekend-Only,2022-09-12,False
V0394,64,F,Phoenix,US,Premium,Casual,2023-05-30,True
V0395,29,M,Mumbai,US,Family,Casual,2024-06-17,False
V0396,36,F,Philadelphia,IN,Free,Weekend-Only,2022-07-25,True
V0397,54,F,Sydney,US,Family,Weekend-Only,2023-08-29,False
V0398,30,Other,Mumbai,US,Basic,Binge-Watcher,2022-01-07,False
V0399,19,M,Mumbai,US,Free,Weekend-Only,2022-01-02,False
V0400,64,F,Los Angeles,US,Basic,Power-User,2023-05-19,True
V0401,27,Other,Phoenix,CA,Family,Weekend-Only,2023-04-15,True
V0402,55,M,Mumbai,IN,Free,New-User,2023-08-05,True
V0403,45,Other,Chicago,US,Premium,Weekend-Only,2024-03-31,False
V0404,62,Other,Philadelphia,US,Premium,Binge-Watcher,2022-03-18,True
V0405,26,Other,Los Angeles,CA,Family,Power-User,2022-11-18,False
V0406,25,Other,Philadelphia,US,Basic,Power-User,2022-11-12,False
V0407,34,M,Los Angeles,AU,Free,Binge-Watcher,2024-05-05,True
V0408,27,M,Sydney,US,Premium,Power-User,2023-06-10,True
V0409,61,F,Phoenix,US,Basic,Casual,2023-02-19,False
V0410,53,Other,Mumbai,US,Family,Casual,2024-04-03,True
