review_id,viewer_id,movie_id,rating,sentiment,review_date,helpful_votes
R0170,V0108,M015,3,Positive,2025-04-20,88
R0171,V0034,M022,7,Negative,2025-02-14,151
R0172,V0114,M011,10,Positive,2025-04-08,150
R0173,V0223,M014,10,Negative,2025-04-25,63
R0174,V0224,M011,4,Positive,2025-05-04,192
R0175,V0073,M025,9,Neutral,2025-01-23,102
R0176,V0233,M009,9,Negative,2025-04-22,118
R0177,V0006,M010,8,Neutral,2025-04-25,156
R0178,V0007,M004,3,Positive,2025-03-30,199
R0179,V0238,M018,7,Positive,2025-01-25,77
R0180,V0272,M018,2,Positive,2025-01-15,65
R0181,V0257,M006,9,Positive,2025-02-08,12
R0182,V0166,M006,9,Positive,2025-01-01,155
R0183,V0156,M003,4,Positive,2025-04-22,83
R0184,V0071,M015,4,Negative,2025-05-02,135
R0185,V0270,M025,4,Negative,2025-03-14,21
R0186,V0176,M011,3,Positive,2025-02-18,103
R0187,V0016,M019,1,Positive,2025-02-14,1
R0188,V0056,M018,2,Positive,2025-03-25,76
R0189,V0163,M025,1,Neutral,2025-04-08,102
R0190,V0158,M008,3,Negative,2025-03-06,185
R0191,V0001,M003,2,Positive,2025-01-20,189
R0192,V0104,M002,4,Positive,2025-04-06,72
R0193,V0135,M025,10,Positive,2025-01-04,55
R0194,V0022,M017,5,Positive,2025-03-07,4
R0195,V0227,M023,4,Negative,2025-03-25,147
R0196,V0143,M022,8,Positive,2025-05-04,38
R0197,V0172,M005,9,Neutral,2025-04-01,33
R0198,V0080,M017,1,Negative,2025-03-28,156
R0199,V0077,M004,9,Neutral,2025-01-15,164
R0200,V0028,M008,6,Neutral,2025-01-09,76
R0201,V0187,M019,3,Positive,2025-02-14,75
R0202,V0113,M010,1,Positive,2025-01-05,158
R0203,V0252,M022,3,Positive,2025-03-27,132
R0204,V0016,M012,3,Positive,2025-01-06,86
R0205,V0008,M007,4,Positive,2025-05-05,145
R0206,V0279,M023,8,Neutral,2025-02-01,109
R0207,V0093,M019,10,Positive,2025-05-06,159
R0208,V0242,M023,5,Negative,2025-04-15,158
R0209,V0030,M006,7,Positive,2025-03-01,145
R0210,V0021,M024,9,Positive,2025-02-19,166
R0211,V0285,M005,6,Neutral,2025-01-27,136
R0212,V0033,M019,3,Positive,2025-03-29,21
R0213,V0224,M017,8,Positive,2025-02-25,62
R0214,V0087,M011,1,Neutral,2025-01-26,157
R0215,V0297,M013,7,Neutral,2025-04-26,25
R0216,V0147,M014,9,Neutral,2025-03-13,146
R0217,V0081,M001,6,Neutral,2025-02-06,39
R0218,V0207,M023,5,Positive,2025-02-01,79
R0219,V0244,M014,4,Positive,2025-03-30,125
R0220,V0074,M001,5,Positive,2025-01-16,181
R0221,V0295,M008,3,Positive,2025-04-02,57
R0222,V0067,M015,2,Positive,2025-04-22,123
R0223,V0118,M016,10,Positive,2025-03-15,103
R0224,V0182,M019,2,Positive,2025-01-02,13
R0225,V0036,M018,8,Neutral,2025-04-01,126
R0226,V0034,M010,4,Positive,2025-01-08,18
R0227,V0233,M023,8,Positive,2025-01-16,15
R0228,V0088,M008,4,Neutral,2025-03-07,22
R0229,V0374,M001,10,Positive,2025-04-30,11
R0230,V0004,M023,3,Positive,2025-04-04,159
R0231,V0270,M015,10,Negative,2025-01-13,184
R0232,V0020,M025,2,Negative,2025-02-07,50
R0233,V0168,M008,9,Neutral,2025-04-04,49
R0234,V0010,M015,4,Neutral,2025-01-24,10
R0235,V0204,M018,4,Positive,2025-01-22,187
R0236,V0059,M007,3,Positive,2025-03-20,79
R0237,V0181,M021,5,Neutral,2025-01-12,73
R0238,V0189,M003,9,Negative,2025-01-14,0
R0239,V0258,M012,5,Neutral,2025-03-02,110
R0240,V0014,M008,1,Neutral,2025-03-10,191
R0241,V0126,M002,9,Neutral,2025-04-02,32
R0242,V0158,M007,4,Positive,2025-04-27,16
R0243,V0110,M009,1,Neutral,2025-03-12,105
R0244,V0159,M021,6,Positive,2025-03-28,199
R0245,V0046,M024,10,Positive,2025-01-15,120
R0246,V0266,M005,1,Negative,2025-04-02,199
R0247,V0166,M006,6,Positive,2025-02-18,123
R0248,V0022,M017,4,Positive,2025-03-28,137
R0249,V0186,M025,10,Positive,2025-04-21,20
R0250,V0174,M010,5,Positive,2025-01-22,98
R0251,V0054,M008,4,Positive,2025-04-19,9
R0252,V0156,M005,10,Positive,2025-03-08,142
R0253,V0110,M007,6,Negative,2025-03-06,0
R0254,V0087,M016,6,Positive,2025-01-26,139
R0255,V0275,M017,2,Positive,2025-05-03,82
R0256,V0203,M022,8,Positive,2025-04-26,69
R0257,V0277,M025,10,Neutral,2025-01-08,171
R0258,V0438,M001,6,Positive,2025-04-28,154
R0259,V0006,M024,2,Neutral,2025-04-10,12
R0260,V0007,M007,8,Neutral,2025-02-24,0
R0261,V0224,M023,1,Positive,2025-04-20,2
R0262,V0127,M022,10,Positive,2025-02-05,3
R0263,V0091,M002,5,Positive,2025-01-31,79
R0264,V0182,M002,2,Negative,2025-03-29,70
R0265,V0072,M025,1,Positive,2025-05-02,154
R0266,V0081,M014,9,Positive,2025-04-11,45
R0267,V0108,M001,2,Negative,2025-02-20,6
R0268,V0169,M014,4,Negative,2025-03-21,97
R0269,V0035,M014,7,Positive,2025-04-01,196
R0270,V0176,M022,1,Positive,2025-02-14,131
R0271,V0169,M016,6,Negative,2025-01-28,141
R0272,V0289,M019,7,Positive,2025-01-04,160
R0273,V0061,M009,1,Neutral,2025-03-02,136
R0274,V0088,M008,9,Positive,2025-03-08,38
R0275,V0262,M019,7,Positive,2025-05-02,40
R0276,V0046,M013,10,Positive,2025-04-04,23
R0277,V0083,M003,7,Positive,2025-01-05,177
R0278,V0081,M011,7,Negative,2025-04-11,52
R0279,V0163,M001,4,Positive,2025-01-29,87
R0280,V0047,M015,7,Positive,2025-03-19,51
R0281,V0007,M025,1,Positive,2025-03-19,154
R0282,V0251,M012,8,Positive,2025-03-04,67
R0283,V0243,M021,1,Negative,2025-02-12,129
R0284,V0104,M002,1,Neutral,2025-03-31,124
R0285,V0112,M008,1,Negative,2025-01-19,184
R0286,V0276,M013,10,Negative,2025-03-12,123
R0287,V0035,M022,1,Negative,2025-04-10,43
R0288,V0173,M019,1,Positive,2025-02-16,153
R0289,V0118,M010,10,Positive,2025-03-21,138
R0290,V0057,M009,5,Positive,2025-04-22,20
R0291,V0081,M016,2,Positive,2025-01-18,174
R0292,V0277,M001,3,Neutral,2025-02-08,96
R0293,V0040,M004,2,Positive,2025-04-02,85
R0294,V0154,M017,9,Positive,2025-01-16,141
R0295,V0137,M007,6,Negative,2025-04-24,12
R0296,V0109,M018,6,Positive,2025-04-11,102
R0297,V0114,M004,4,Positive,2025-02-02,168
R0298,V0047,M004,2,Positive,2025-01-07,152
R0299,V0080,M017,7,Positive,2025-04-30,75
R0300,V0181,M009,8,Positive,2025-01-06,37
R0301,V0074,M021,1,Positive,2025-03-08,57
R0302,V0182,M022,10,Neutral,2025-03-27,173
R0303,V0185,M008,1,Neutral,2025-04-24,122
R0304,V0300,M003,5,Positive,2025-01-02,182
R0305,V0153,M015,5,Positive,2025-02-28,122
R0306,V0202,M007,1,Negative,2025-04-05,173
R0307,V0143,M006,3,Positive,2025-03-23,20
R0308,V0186,M009,8,Positive,2025-04-19,74
R0309,V0168,M017,7,Positive,2025-01-24,158
R0310,V0013,M003,10,Positive,2025-03-12,186
R0311,V0168,M010,4,Negative,2025-04-09,69
R0312,V0203,M001,7,Neutral,2025-04-29,99
R0313,V0083,M017,7,Positive,2025-03-01,104
R0314,V0101,M024,3,Positive,2025-03-13,83
R0315,V0236,M025,10,Neutral,2025-04-24,0
R0316,V0117,M003,6,Positive,2025-01-26,3
R0317,V0074,M006,3,Neutral,2025-01-03,18
R0318,V0245,M007,9,Positive,2025-04-06,4
R0319,V0019,M010,3,Positive,2025-03-10,124
R0320,V0109,M020,9,Neutral,2025-01-21,1
R0321,V0170,M001,4,Neutral,2025-01-15,132
R0322,V0029,M001,7,Positive,2025-02-15,84
R0323,V0186,M018,1,Neutral,2025-01-19,60
R0324,V0129,M025,1,Neutral,2025-05-03,101
R0325,V0245,M001,4,Neutral,2025-04-10,2
R0326,V0040,M001,6,Positive,2025-01-10,33
R0327,V0198,M009,9,Positive,2025-03-29,165
R0328,V0214,M003,7,Positive,2025-04-08,2
R0329,V0176,M023,10,Negative,2025-01-20,150
R0330,V0009,M008,2,Positive,2025-04-22,55
R0331,V0034,M018,10,Positive,2025-01-14,151
R0332,V0191,M022,2,Positive,2025-04-28,15
R0333,V0244,M018,4,Positive,2025-02-23,36
R0334,V0242,M021,6,Positive,2025-02-13,5
R0335,V0221,M023,10,Positive,2025-03-10,86
R0336,V0078,M020,3,Positive,2025-02-24,196
R0337,V0071,M003,8,Positive,2025-04-15,145
R0338,V0283,M003,8,Negative,2025-03-29,93
R0339,V0271,M009,4,Positive,2025-04-29,147
R0340,V0075,M002,3,Neutral,2025-03-13,10
R0341,V0017,M006,1,Negative,2025-02-17,183
R0342,V0071,M024,9,Neutral,2025-03-05,11
R0343,V0114,M024,3,Neutral,2025-04-05,89
R0344,V0219,M022,8,Positive,2025-02-10,169
R0345,V0087,M011,6,Positive,2025-04-05,69
R0346,V0176,M011,10,Positive,2025-02-20,11
R0347,V0121,M025,6,Positive,2025-03-02,191
R0348,V0106,M016,9,Negative,2025-03-07,72
R0349,V0107,M012,5,Positive,2025-03-22,57
R0350,V0031,M014,9,Positive,2025-01-23,31
R0351,V0191,M003,9,Positive,2025-03-04,161
R0352,V0300,M019,9,Positive,2025-04-04,183
R0353,V0279,M004,9,Negative,2025-03-01,99
R0354,V0107,M007,6,Positive,2025-04-13,135
R0355,V0137,M021,4,Positive,2025-01-04,72
R0356,V0170,M005,6,Neutral,2025-01-27,103
R0357,V0133,M022,3,Positive,2025-03-23,152
R0358,V0080,M008,6,Positive,2025-02-28,31
R0359,V0193,M010,8,Negative,2025-03-27,126
R0360,V0154,M021,1,Positive,2025-04-16,179
R0361,V0224,M002,7,Neutral,2025-01-11,3
R0362,V0103,M004,4,Neutral,2025-02-27,26
R0363,V0177,M015,7,Positive,2025-03-10,79
R0364,V0223,M006,9,Neutral,2025-04-27,7
R0365,V0006,M024,8,Positive,2025-03-06,75
R0366,V0069,M011,8,Positive,2025-03-22,193
R0367,V0141,M016,7,Neutral,2025-02-10,4
R0368,V0117,M023,3,Positive,2025-03-03,90
R0369,V0207,M024,2,Positive,2025-04-21,129
R0370,V0147,M025,6,Positive,2025-01-06,18
R0371,V0090,M024,6,Positive,2025-02-27,174
R0372,V0151,M010,1,Positive,2025-02-22,112
R0373,V0057,M007,4,Positive,2025-04-17,108
R0374,V0289,M018,8,Positive,2025-01-14,80
R0375,V0219,M013,7,Positive,2025-01-31,88
R0376,V0222,M001,9,Neutral,2025-03-24,146
R0377,V0496,M001,1,Positive,2025-04-08,33
R0378,V0289,M020,3,Positive,2025-03-27,77
R0379,V0268,M005,2,Positive,2025-01-23,62
R0380,V0184,M013,10,Positive,2025-03-28,78
R0381,V0072,M023,8,Negative,2025-01-07,67
R0382,V0081,M019,1,Neutral,2025-01-06,67
R0383,V0200,M009,6,Positive,2025-05-08,24
R0384,V0173,M004,6,Neutral,2025-02-10,149
R0385,V0274,M017,1,Positive,2025-03-02,185
R0386,V0169,M001,8,Positive,2025-05-02,146
R0387,V0025,M008,2,Negative,2025-03-20,163
R0388,V0255,M005,10,Negative,2025-01-27,101
R0389,V0007,M015,7,Positive,2025-02-09,183
R0390,V0002,M017,7,Negative,2025-01-25,54
R0391,V0233,M018,7,Positive,2025-01-18,99
R0392,V0134,M014,2,Negative,2025-01-06,60
R0393,V0090,M024,4,Positive,2025-02-20,182
R0394,V0193,M005,10,Neutral,2025-01-28,67
R0395,V0134,M014,9,Neutral,2025-02-25,101
R0396,V0245,M001,9,Positive,2025-04-11,95
R0397,V0123,M016,8,Positive,2025-02-27,197
R0398,V0188,M003,3,Positive,2025-04-15,190
R0399,V0107,M003,8,Neutral,2025-02-27,187
R0400,V0072,M017,2,Negative,2025-03-23,67
