city,month,genre,total_views,unique_viewers,avg_completion_pct,avg_rating,revenue_usd
Los Angeles,2025-01,Comedy,14788,3481,60.2,6.4,6597
Los Angeles,2025-01,Sci-Fi,45152,10629,65.7,8.6,47855
Los Angeles,2025-01,Thriller,8821,3267,69.7,7.5,89539
Los Angeles,2025-01,Romance,48940,7495,69.3,7.8,37720
Los Angeles,2025-02,Action,17762,1665,59.6,8.9,71437
Los Angeles,2025-02,Drama,14212,3629,90.7,6.2,41444
Los Angeles,2025-02,Comedy,32179,1884,75.6,7.8,99637
Los Angeles,2025-02,Sci-Fi,10486,7632,91.0,8.2,7451
Los Angeles,2025-02,Thriller,13505,13326,70.2,6.8,43506
Los Angeles,2025-02,Romance,41642,13095,83.5,8.1,79871
Los Angeles,2025-03,Action,5392,1427,72.4,6.8,60026
Los Angeles,2025-03,Drama,40995,14827,70.3,8.5,19628
Los Angeles,2025-03,Comedy,15712,10114,82.8,7.5,47813
Los Angeles,2025-03,Sci-Fi,28441,16989,58.7,6.6,63000
Los Angeles,2025-03,Thriller,38150,9815,46.2,8.0,31395
Los Angeles,2025-03,Romance,28238,14200,89.8,8.3,9702
Los Angeles,2025-04,Action,28811,7341,89.1,7.5,63883
Los Angeles,2025-04,Drama,14828,16538,68.8,5.8,16600
Los Angeles,2025-04,Comedy,23769,19280,89.4,6.5,93591
Los Angeles,2025-04,Sci-Fi,10996,19907,87.8,7.7,87841
Los Angeles,2025-04,Thriller,29282,7852,49.9,6.6,74342
Los Angeles,2025-04,Romance,49195,7028,78.4,5.5,12629
Los Angeles,2025-05,Action,22220,18524,62.3,7.8,40885
Los Angeles,2025-05,Drama,42609,5563,91.8,5.9,23944
Los Angeles,2025-05,Comedy,20166,3164,62.7,9.0,49869
Los Angeles,2025-05,Sci-Fi,5020,18222,61.3,8.0,71456
Los Angeles,2025-05,Thriller,16716,19306,65.3,6.6,62153
Los Angeles,2025-05,Romance,14085,10026,58.7,6.5,62727
Chicago,2025-01,Action,46966,8542,63.3,7.9,46269
Chicago,2025-01,Drama,49193,18953,61.8,6.1,11791
Chicago,2025-01,Comedy,41598,16159,57.6,8.7,80922
Chicago,2025-01,Sci-Fi,8030,14116,48.0,5.0,2720
Chicago,2025-01,Thriller,11088,5625,48.6,7.7,54017
Chicago,2025-01,Romance,37497,18281,48.4,8.3,38575
Chicago,2025-02,Action,6980,7668,82.0,6.2,36842
Chicago,2025-02,Drama,44254,15912,63.2,8.6,93436
Chicago,2025-02,Comedy,39218,8560,83.4,5.8,64812
Chicago,2025-02,Sci-Fi,29974,9630,46.2,9.0,78527
Chicago,2025-02,Thriller,47618,4308,70.2,6.2,84482
Chicago,2025-02,Romance,16318,6795,81.2,5.1,20865
Chicago,2025-03,Action,28336,11599,90.6,8.0,76384
Chicago,2025-03,Drama,48079,19373,63.1,8.3,16279
Chicago,2025-03,Comedy,37057,6380,64.5,6.8,17136
Chicago,2025-03,Sci-Fi,39807,12571,91.5,6.7,11218
Chicago,2025-03,Thriller,598,4772,91.9,8.0,32524
Chicago,2025-03,Romance,18711,5898,83.1,8.7,18619
Chicago,2025-04,Action,8888,4579,77.0,8.9,36214
Chicago,2025-04,Drama,40720,19480,70.6,5.3,28362
Chicago,2025-04,Comedy,48026,14543,90.7,7.2,56178
Chicago,2025-04,Sci-Fi,32496,11933,74.0,5.1,63174
Chicago,2025-04,Thriller,30144,2564,60.4,7.5,37186
Chicago,2025-04,Romance,26950,4141,57.9,5.1,22522
Chicago,2025-05,Action,14347,8238,81.5,6.4,61020
Chicago,2025-05,Drama,20425,13158,87.7,6.7,41261
Chicago,2025-05,Comedy,9682,12550,83.2,5.4,51296
Chicago,2025-05,Sci-Fi,16643,16243,80.3,6.5,9714
Chicago,2025-05,Thriller,37698,19354,81.8,6.4,85259
Chicago,2025-05,Romance,25494,11172,61.7,8.0,84802
Houston,2025-01,Action,12473,16124,77.2,6.5,35433
Houston,2025-01,Drama,6573,9985,73.6,5.1,72771
Houston,2025-01,Comedy,21692,281,90.7,8.0,44846
Houston,2025-01,Sci-Fi,22996,2282,79.2,8.9,36531
Houston,2025-01,Thriller,19410,8582,86.1,6.6,19439
Houston,2025-01,Romance,12333,17679,87.8,5.9,1104
Houston,2025-02,Action,20206,15562,80.5,8.8,9664
Houston,2025-02,Drama,17060,12035,58.0,7.9,92194
Houston,2025-02,Comedy,5984,12448,77.3,6.2,26948
Houston,2025-02,Sci-Fi,10252,11917,49.4,6.0,78117
Houston,2025-02,Thriller,30514,17435,69.3,7.4,42525
Houston,2025-02,Romance,14502,2281,51.3,7.8,38947
Houston,2025-03,Action,1415,19309,60.1,6.0,65952
Houston,2025-03,Drama,43139,14468,65.0,7.1,7785
Houston,2025-03,Comedy,46268,17512,82.8,7.0,8834
Houston,2025-03,Sci-Fi,7047,17760,67.6,6.0,41897
Houston,2025-03,Thriller,14008,19280,49.0,5.4,9509
Houston,2025-03,Romance,16895,7698,65.4,7.1,23391
Houston,2025-04,Action,41873,3604,89.4,5.1,72893
Houston,2025-04,Drama,5586,18182,66.4,5.2,89000
Houston,2025-04,Comedy,27067,17386,60.0,6.2,44341
Houston,2025-04,Sci-Fi,30262,1932,64.1,7.2,1301
Houston,2025-04,Thriller,9857,14218,83.6,7.6,33032
Houston,2025-04,Romance,47783,2562,62.5,6.1,93632
Houston,2025-05,Action,49196,6628,45.6,5.1,25207
Houston,2025-05,Drama,13295,1977,53.7,7.0,44940
Houston,2025-05,Comedy,42903,11181,87.8,5.1,43787
Houston,2025-05,Sci-Fi,9550,5711,58.6,5.4,38915
Houston,2025-05,Thriller,10553,1094,64.0,6.9,14513
Houston,2025-05,Romance,21146,2670,57.0,8.0,75237
Phoenix,2025-01,Action,9784,825,49.5,8.4,56628
Phoenix,2025-01,Drama,16874,6943,84.9,7.1,17872
Phoenix,2025-01,Comedy,9392,4677,58.1,5.1,42879
Phoenix,2025-01,Sci-Fi,15711,19438,51.1,7.7,7185
Phoenix,2025-01,Thriller,24908,12579,51.6,5.1,87934
Phoenix,2025-01,Romance,48941,1719,85.0,5.5,28228
Phoenix,2025-02,Action,17278,17704,59.4,5.9,14242
Phoenix,2025-02,Drama,13111,7665,75.2,6.5,68767
Phoenix,2025-02,Comedy,25327,4025,82.4,5.6,97067
Phoenix,2025-02,Sci-Fi,39671,8528,60.8,8.4,90033
Phoenix,2025-02,Thriller,19066,11120,50.9,6.2,66614
Phoenix,2025-02,Romance,26696,9978,81.3,6.2,59027
Phoenix,2025-03,Action,28562,363,53.1,7.3,57367
Phoenix,2025-03,Drama,28641,6534,57.6,8.0,96640
Phoenix,2025-03,Comedy,38729,11885,56.6,8.0,84447
Phoenix,2025-03,Sci-Fi,44410,15717,74.4,8.5,32785
Phoenix,2025-03,Thriller,18635,18971,70.9,7.5,24245
Phoenix,2025-03,Romance,41252,15663,84.0,6.4,13073
Phoenix,2025-04,Action,22428,6018,91.9,8.9,53990
Phoenix,2025-04,Drama,24809,11095,71.4,5.3,64953
Phoenix,2025-04,Comedy,26064,5367,62.4,6.0,84831
Phoenix,2025-04,Sci-Fi,33982,2185,74.1,6.7,40340
Phoenix,2025-04,Thriller,7396,8935,67.2,9.0,29727
Phoenix,2025-04,Romance,16832,13448,84.9,7.8,21873
Phoenix,2025-05,Action,19409,14668,81.5,8.8,52617
Phoenix,2025-05,Drama,28962,10613,76.3,6.4,74556
Phoenix,2025-05,Comedy,38547,13560,51.0,7.5,76574
Phoenix,2025-05,Sci-Fi,36639,11311,80.2,5.6,27548
Phoenix,2025-05,Thriller,46838,12922,68.2,7.4,40034
Phoenix,2025-05,Romance,7267,11300,67.3,5.6,60987
Philadelphia,2025-01,Action,42761,13908,89.7,8.0,72703
Philadelphia,2025-01,Drama,15219,10816,57.8,8.8,38567
Philadelphia,2025-01,Comedy,27423,18174,60.4,8.0,33289
Philadelphia,2025-01,Sci-Fi,44327,19131,46.2,8.1,52550
Philadelphia,2025-01,Thriller,48389,17842,51.9,7.3,78363
Philadelphia,2025-01,Romance,42371,7945,73.9,8.0,72614
Philadelphia,2025-02,Action,43575,2728,64.5,6.4,30439
Philadelphia,2025-02,Drama,44658,16587,48.9,6.6,68537
Philadelphia,2025-02,Comedy,43477,6646,77.6,5.4,33092
Philadelphia,2025-02,Sci-Fi,2015,16489,82.9,6.9,50747
Philadelphia,2025-02,Thriller,4362,15651,77.5,8.1,1533
Philadelphia,2025-02,Romance,6753,9174,70.2,6.7,64173
Philadelphia,2025-03,Action,36799,825,71.1,5.6,96933
Philadelphia,2025-03,Drama,18528,19003,54.8,5.5,17054
Philadelphia,2025-03,Comedy,19208,13249,81.8,7.4,40039
Philadelphia,2025-03,Sci-Fi,29468,13204,53.6,7.6,19894
Philadelphia,2025-03,Thriller,49564,19144,91.6,7.5,51934
Philadelphia,2025-03,Romance,46541,9916,61.2,6.6,26068
Philadelphia,2025-04,Action,39680,3767,66.6,8.0,77687
Philadelphia,2025-04,Drama,39076,10049,45.5,6.6,76059
Philadelphia,2025-04,Comedy,17687,16768,84.8,5.3,88525
Philadelphia,2025-04,Sci-Fi,7698,6148,75.2,7.8,51235
Philadelphia,2025-04,Thriller,47594,9772,71.7,5.4,54739
Philadelphia,2025-04,Romance,30089,1038,64.3,8.6,30385
Philadelphia,2025-05,Action,14816,10968,55.4,5.4,14746
Philadelphia,2025-05,Drama,26034,3720,53.0,8.1,75870
Philadelphia,2025-05,Comedy,2304,3922,63.9,7.9,75407
Philadelphia,2025-05,Sci-Fi,39928,9116,79.4,5.1,99874
Philadelphia,2025-05,Thriller,5828,6579,55.6,6.1,36638
Philadelphia,2025-05,Romance,14619,15805,88.1,6.7,64180
San Antonio,2025-01,Action,43543,6921,90.0,6.1,14158
San Antonio,2025-01,Drama,18944,1693,83.8,7.2,91617
San Antonio,2025-01,Comedy,17886,3103,79.2,8.8,57906
San Antonio,2025-01,Sci-Fi,32850,19877,55.2,5.3,33905
San Antonio,2025-01,Thriller,36178,3186,49.9,5.0,38083
San Antonio,2025-01,Romance,38402,19543,76.2,5.3,4265
San Antonio,2025-02,Action,3616,10408,75.8,8.7,6066
San Antonio,2025-02,Drama,10364,17555,71.4,8.5,55656
San Antonio,2025-02,Comedy,8303,13444,88.1,9.0,99040
San Antonio,2025-02,Sci-Fi,5241,19933,46.9,6.2,16989
San Antonio,2025-02,Thriller,13644,8648,68.6,8.0,44139
San Antonio,2025-02,Romance,20315,18337,57.3,5.6,8853
San Antonio,2025-03,Action,14231,10661,54.3,6.7,92142
San Antonio,2025-03,Drama,31829,18729,91.3,5.4,78552
San Antonio,2025-03,Comedy,7033,6930,88.3,6.5,11464
San Antonio,2025-03,Sci-Fi,21728,15946,49.6,7.8,12325
San Antonio,2025-03,Thriller,32973,4001,54.6,5.5,93461
San Antonio,2025-03,Romance,6906,19302,77.0,8.7,3126
San Antonio,2025-04,Action,9370,10143,87.6,7.7,1564
San Antonio,2025-04,Drama,11088,17264,71.1,7.6,38922
San Antonio,2025-04,Comedy,6530,4106,51.2,7.1,83837
San Antonio,2025-04,Sci-Fi,20100,10591,51.4,6.9,92383
San Antonio,2025-04,Thriller,5420,7183,90.6,6.9,67856
San Antonio,2025-04,Romance,24650,16284,62.9,8.4,25578
San Antonio,2025-05,Action,40162,2551,56.2,8.2,11445
San Antonio,2025-05,Drama,2958,16561,59.2,8.9,87195
San Antonio,2025-05,Comedy,25334,4201,81.8,9.0,23193
San Antonio,2025-05,Sci-Fi,16851,5172,50.6,6.1,7276
San Antonio,2025-05,Thriller,5489,7981,48.9,6.3,44449
San Antonio,2025-05,Romance,3868,13666,73.1,6.7,87755
Dallas,2025-01,Action,12659,12931,48.1,7.2,46140
Dallas,2025-01,Drama,22594,5679,91.9,5.7,86981
Dallas,2025-01,Comedy,33061,10419,87.0,5.0,83968
Dallas,2025-01,Sci-Fi,24308,9473,67.9,8.2,93744
Dallas,2025-01,Thriller,31075,19328,70.5,7.8,37165
Dallas,2025-01,Romance,34617,17426,88.0,6.4,52174
Dallas,2025-02,Action,40117,9451,68.8,8.9,79365
Dallas,2025-02,Drama,14977,2112,46.4,5.4,83400
Dallas,2025-02,Comedy,46424,11365,65.3,6.4,87954
Dallas,2025-02,Sci-Fi,26838,7022,62.2,8.1,39829
Dallas,2025-02,Thriller,10044,6236,66.1,7.9,60727
Dallas,2025-02,Romance,10727,12970,64.0,8.0,48398
Dallas,2025-03,Action,27048,12224,46.2,6.5,2047
Dallas,2025-03,Drama,31722,939,76.2,5.3,86709
Dallas,2025-03,Comedy,18486,3844,84.4,5.0,50554
Dallas,2025-03,Sci-Fi,33873,13994,85.5,6.0,92807
Dallas,2025-03,Thriller,34051,14784,81.6,5.4,1674
Dallas,2025-03,Romance,724,13695,64.2,7.4,89121
Dallas,2025-04,Action,18322,3486,67.8,7.1,2010
Dallas,2025-04,Drama,31414,13557,52.9,7.0,15591
Dallas,2025-04,Comedy,8476,11707,85.9,7.6,19350
Dallas,2025-04,Sci-Fi,15531,4880,71.0,5.7,73884
Dallas,2025-04,Thriller,10659,9503,45.6,6.1,43826
Dallas,2025-04,Romance,10693,17436,54.1,9.0,78470
Dallas,2025-05,Action,39526,9937,46.5,6.1,6113
Dallas,2025-05,Drama,48098,18361,57.6,7.4,16181
Dallas,2025-05,Comedy,15453,12423,86.8,5.4,16133
Dallas,2025-05,Sci-Fi,16639,11571,76.3,8.3,42211
Dallas,2025-05,Thriller,13229,10642,90.5,8.8,20086
Dallas,2025-05,Romance,11295,17587,72.8,8.7,2003
Mumbai,2025-01,Action,29118,9678,50.5,7.8,88150
Mumbai,2025-01,Drama,24052,16235,71.2,5.2,61864
Mumbai,2025-01,Comedy,34853,8072,46.4,8.7,3253
Mumbai,2025-01,Sci-Fi,5270,977,87.1,5.4,38709
Mumbai,2025-01,Thriller,47180,10994,56.4,5.3,44636
Mumbai,2025-01,Romance,8773,16929,80.8,5.4,86955
Mumbai,2025-02,Action,17712,9634,67.1,6.6,60524
Mumbai,2025-02,Drama,19363,4423,70.9,5.7,85090
Mumbai,2025-02,Comedy,33919,18401,88.5,5.9,51531
Mumbai,2025-02,Sci-Fi,15049,11483,68.4,8.7,85210
Mumbai,2025-02,Thriller,47054,1017,76.7,5.9,74178
Mumbai,2025-02,Romance,38850,3981,76.4,5.4,87593
Mumbai,2025-03,Action,41169,14769,56.8,8.7,32398
Mumbai,2025-03,Drama,47718,13389,73.0,5.1,44507
Mumbai,2025-03,Comedy,36711,10789,90.0,8.7,49769
Mumbai,2025-03,Sci-Fi,39320,18948,59.4,8.1,72399
Mumbai,2025-03,Thriller,18735,6313,72.1,7.9,55932
Mumbai,2025-03,Romance,40001,14287,71.6,5.2,40064
Mumbai,2025-04,Action,24046,5220,69.4,8.2,57249
Mumbai,2025-04,Drama,1468,12562,48.1,5.2,44458
Mumbai,2025-04,Comedy,28049,15263,56.3,6.8,36830
Mumbai,2025-04,Sci-Fi,24830,14750,87.0,5.3,42726
Mumbai,2025-04,Thriller,9930,14754,64.5,8.7,55821
Mumbai,2025-04,Romance,44008,18554,48.2,7.4,73330
Mumbai,2025-05,Action,4339,4787,61.8,7.5,68112
Mumbai,2025-05,Drama,18873,6571,67.5,6.6,81449
Mumbai,2025-05,Comedy,11033,13234,58.9,6.2,66391
Mumbai,2025-05,Sci-Fi,12319,10787,82.7,8.2,70665
Mumbai,2025-05,Thriller,18980,6235,56.3,5.6,33837
Mumbai,2025-05,Romance,11910,7166,59.2,5.0,5182
London,2025-01,Action,18450,2821,66.4,5.5,15497
London,2025-01,Drama,47695,11046,61.1,8.8,53208
London,2025-01,Comedy,39844,3739,60.4,6.4,61101
London,2025-01,Sci-Fi,18967,19367,88.6,6.5,66403
London,2025-01,Thriller,37403,12613,45.7,6.1,49355
London,2025-01,Romance,30133,2213,56.2,8.1,30048
London,2025-02,Action,43567,4931,74.2,6.4,79614
London,2025-02,Drama,19578,11958,53.5,5.9,11822
London,2025-02,Comedy,21612,17823,88.3,5.6,51708
London,2025-02,Sci-Fi,15334,1710,58.1,8.6,19326
London,2025-02,Thriller,40155,14456,63.4,8.6,91460
London,2025-02,Romance,40951,19863,49.3,5.6,64618
London,2025-03,Action,19865,5343,73.2,8.3,4465
London,2025-03,Drama,20294,3051,64.1,7.2,24177
London,2025-03,Comedy,8313,11969,77.2,7.4,54230
London,2025-03,Sci-Fi,25564,19995,54.9,8.4,1649
London,2025-03,Thriller,26466,7451,91.4,8.3,99503
London,2025-03,Romance,2663,7259,50.7,5.9,21564
London,2025-04,Action,33275,1679,59.2,8.1,47962
London,2025-04,Drama,997,6260,52.1,6.7,89004
London,2025-04,Comedy,38841,1797,50.0,6.0,32918
London,2025-04,Sci-Fi,14370,12444,74.1,7.0,64860
London,2025-04,Thriller,6054,19982,47.9,5.2,3841
London,2025-04,Romance,12545,19263,75.5,6.7,50385
London,2025-05,Action,10082,6236,84.6,6.5,95102
London,2025-05,Drama,44868,9400,77.9,5.3,97988
London,2025-05,Comedy,24647,11796,90.6,6.2,96301
London,2025-05,Sci-Fi,29958,19184,91.9,8.2,19694
London,2025-05,Thriller,15370,215,58.4,8.1,96283
London,2025-05,Romance,14734,4679,79.9,5.3,51471
Toronto,2025-01,Action,43156,15559,66.9,8.1,10891
Toronto,2025-01,Drama,19168,11062,62.7,6.8,38740
Toronto,2025-01,Comedy,16560,14746,45.6,8.0,81601
Toronto,2025-01,Sci-Fi,19879,11758,54.2,7.5,14685
Toronto,2025-01,Thriller,5761,14990,90.8,6.7,56144
Toronto,2025-01,Romance,47128,14225,61.0,6.4,87354
Toronto,2025-02,Action,31362,13899,48.1,5.1,76431
Toronto,2025-02,Drama,10993,18346,49.1,7.8,43094
Toronto,2025-02,Comedy,31746,18138,47.6,7.6,95550
Toronto,2025-02,Sci-Fi,41456,2161,52.3,6.0,89496
Toronto,2025-02,Thriller,7963,13005,67.5,7.2,58907
Toronto,2025-02,Romance,2075,12860,74.6,6.9,57043
Toronto,2025-03,Action,13901,11187,56.6,5.6,90647
Toronto,2025-03,Drama,32369,4233,70.3,7.3,10386
Toronto,2025-03,Comedy,9547,12604,83.5,7.1,38287
Toronto,2025-03,Sci-Fi,42909,16997,62.3,5.9,66271
Toronto,2025-03,Thriller,5991,2923,58.4,5.6,41837
Toronto,2025-03,Romance,13119,906,46.9,8.8,33091
Toronto,2025-04,Action,30224,11231,81.3,6.0,99610
Toronto,2025-04,Drama,35750,18700,87.7,5.6,32888
Toronto,2025-04,Comedy,46574,2596,54.7,6.0,46164
Toronto,2025-04,Sci-Fi,39784,16656,85.0,6.5,28353
Toronto,2025-04,Thriller,8810,15887,80.5,7.1,34797
Toronto,2025-04,Romance,7268,16285,76.0,5.8,90523
Toronto,2025-05,Action,33066,13724,61.1,5.3,45672
Toronto,2025-05,Drama,14282,17363,51.6,5.4,37017
Toronto,2025-05,Comedy,44232,1193,83.3,8.2,22452
Toronto,2025-05,Sci-Fi,46396,14223,63.5,5.7,59342
Toronto,2025-05,Thriller,14939,12284,48.0,5.6,24996
Toronto,2025-05,Romance,18827,10552,89.3,5.9,33624
Sydney,2025-01,Action,32547,12174,76.6,6.3,99483
Sydney,2025-01,Drama,25790,15576,90.9,6.0,58840
Sydney,2025-01,Comedy,34009,9817,72.7,5.6,37527
Sydney,2025-01,Sci-Fi,38363,9636,78.3,8.3,3841
Sydney,2025-01,Thriller,20608,13529,74.4,6.3,55168
Sydney,2025-01,Romance,38418,4447,90.6,6.7,51210
Sydney,2025-02,Action,35485,11138,85.4,5.6,89102
Sydney,2025-02,Drama,4054,14018,81.0,8.0,55773
Sydney,2025-02,Comedy,47093,16328,53.4,8.8,97953
Sydney,2025-02,Sci-Fi,21443,913,73.9,7.3,29247
Sydney,2025-02,Thriller,17369,9024,85.7,5.3,76435
Sydney,2025-02,Romance,7725,10068,65.5,8.1,49660
Sydney,2025-03,Action,786,6296,51.9,5.8,65674
Sydney,2025-03,Drama,30742,18225,91.2,7.8,92650
Sydney,2025-03,Comedy,44286,404,58.5,6.4,65585
Sydney,2025-03,Sci-Fi,47885,18787,66.8,8.5,49965
Sydney,2025-03,Thriller,8116,17231,58.7,7.6,61156
Sydney,2025-03,Romance,2087,6871,55.8,7.4,18557
Sydney,2025-04,Action,6634,9788,66.3,7.7,19876
Sydney,2025-04,Drama,16426,6526,65.9,7.9,21455
Sydney,2025-04,Comedy,45943,2038,88.5,7.8,36353
Sydney,2025-04,Sci-Fi,21252,2298,78.7,6.6,53455
Sydney,2025-04,Thriller,48331,14790,45.6,5.8,83593
Sydney,2025-04,Romance,14898,4807,84.9,8.1,69186
Sydney,2025-05,Action,28440,6768,45.2,5.3,19129
Sydney,2025-05,Drama,10431,1086,83.6,8.4,95377
Sydney,2025-05,Comedy,44795,17173,58.7,8.7,17580
Sydney,2025-05,Sci-Fi,25908,8494,81.3,8.5,27678
Sydney,2025-05,Thriller,13908,7163,64.9,6.8,76531
Sydney,2025-05,Romance,25470,951,89.5,7.0,91615
