activity_id,viewer_id,movie_id,watch_date,watch_month,completion_pct,device,platform
A00045,V0006,M024,2025-03-06,2025-03,99,Tablet,Android
A00046,V0006,M021,2025-04-05,2025-04,89,TV,Android
A00047,V0006,M010,2025-04-25,2025-04,29,TV,Android
A00048,V0007,M004,2025-04-07,2025-04,74,Laptop,Web
A00049,V0007,M005,2025-02-11,2025-02,52,Mobile,Web
A00050,V0007,M015,2025-02-09,2025-02,39,Laptop,iOS
A00051,V0007,M025,2025-03-19,2025-03,93,Laptop,iOS
A00052,V0007,M023,2025-03-23,2025-03,48,TV,iOS
A00053,V0007,M017,2025-02-10,2025-02,89,Tablet,iOS
A00054,V0007,M012,2025-02-26,2025-02,62,Laptop,Web
A00055,V0007,M010,2025-02-25,2025-02,87,Tablet,iOS
A00056,V0007,M004,2025-03-30,2025-03,50,TV,iOS
A00057,V0007,M022,2025-03-24,2025-03,34,Tablet,Web
A00058,V0007,M018,2025-03-14,2025-03,86,Laptop,SmartTV
A00059,V0007,M016,2025-01-12,2025-01,44,Laptop,iOS
A00060,V0007,M004,2025-02-12,2025-02,88,Mobile,iOS
A00061,V0007,M007,2025-02-24,2025-02,74,Mobile,Android
A00062,V0007,M018,2025-04-22,2025-04,29,TV,iOS
A00063,V0007,M015,2025-03-26,2025-03,31,Mobile,iOS
A00064,V0007,M006,2025-03-06,2025-03,29,TV,Web
A00065,V0007,M014,2025-04-10,2025-04,100,Tablet,SmartTV
A00066,V0008,M001,2025-04-10,2025-04,35,Mobile,iOS
A00067,V0008,M025,2025-01-12,2025-01,29,Laptop,iOS
A00068,V0008,M010,2025-03-19,2025-03,31,Laptop,SmartTV
A00069,V0008,M013,2025-04-12,2025-04,23,Tablet,Android
A00070,V0008,M018,2025-02-26,2025-02,70,Laptop,Android
A00071,V0008,M010,2025-04-06,2025-04,90,TV,iOS
A00072,V0008,M002,2025-01-02,2025-01,96,Tablet,iOS
A00073,V0008,M010,2025-02-23,2025-02,64,TV,SmartTV
A00074,V0008,M021,2025-02-06,2025-02,43,TV,Web
A00075,V0008,M007,2025-01-30,2025-01,92,Mobile,SmartTV
A00076,V0008,M021,2025-01-19,2025-01,28,Laptop,iOS
A00077,V0008,M007,2025-05-05,2025-05,65,TV,Android
A00078,V0009,M010,2025-01-18,2025-01,60,Tablet,SmartTV
A00079,V0009,M011,2025-03-20,2025-03,94,TV,Web
A00080,V0009,M011,2025-04-20,2025-04,20,Laptop,Android
A00081,V0009,M008,2025-04-22,2025-04,66,TV,Web
A00082,V0009,M016,2025-04-29,2025-04,65,Laptop,SmartTV
A00083,V0010,M004,2025-02-14,2025-02,97,Mobile,Web
A00084,V0010,M005,2025-02-20,2025-02,100,Mobile,iOS
A00085,V0010,M001,2025-01-08,2025-01,94,Tablet,Android
A00086,V0010,M002,2025-03-08,2025-03,89,Tablet,Android
A00087,V0010,M012,2025-04-11,2025-04,95,Laptop,Android
A00088,V0010,M015,2025-01-24,2025-01,66,Mobile,Android
A00089,V0010,M020,2025-02-12,2025-02,37,Tablet,Android
A00090,V0010,M006,2025-02-07,2025-02,81,Laptop,iOS
A00091,V0010,M008,2025-05-05,2025-05,28,Laptop,Web
A00092,V0010,M008,2025-01-11,2025-01,46,Laptop,SmartTV
A00093,V0010,M016,2025-04-27,2025-04,25,Laptop,iOS
A00094,V0010,M023,2025-03-12,2025-03,53,TV,SmartTV
A00095,V0010,M021,2025-04-07,2025-04,95,Mobile,Web
A00096,V0010,M013,2025-02-27,2025-02,71,Laptop,Web
A00097,V0010,M016,2025-05-04,2025-05,20,TV,SmartTV
A00098,V0010,M006,2025-02-28,2025-02,85,Laptop,Android
A00099,V0010,M005,2025-02-17,2025-02,66,Mobile,Android
A00100,V0010,M014,2025-03-26,2025-03,34,Tablet,SmartTV
A00101,V0010,M016,2025-02-23,2025-02,40,Tablet,iOS
A00102,V0011,M002,2025-02-02,2025-02,95,TV,Android
A00103,V0011,M021,2025-01-11,2025-01,38,Mobile,Android
A00104,V0011,M009,2025-02-16,2025-02,71,Mobile,Web
A00105,V0011,M003,2025-02-25,2025-02,97,Tablet,SmartTV
A00106,V0011,M006,2025-02-26,2025-02,96,TV,Android
A00107,V0011,M020,2025-03-09,2025-03,63,Tablet,iOS
A00108,V0011,M008,2025-04-07,2025-04,36,Mobile,iOS
A00109,V0011,M007,2025-04-18,2025-04,97,Mobile,Android
A00110,V0011,M016,2025-01-10,2025-01,84,Mobile,iOS
A00111,V0012,M022,2025-02-03,2025-02,89,Mobile,SmartTV
A00112,V0012,M017,2025-04-18,2025-04,25,Tablet,Android
A00113,V0012,M016,2025-04-08,2025-04,95,Mobile,SmartTV
A00114,V0012,M005,2025-03-07,2025-03,49,Mobile,Web
A00115,V0012,M020,2025-04-15,2025-04,44,Mobile,iOS
A00116,V0012,M019,2025-01-31,2025-01,20,Tablet,Android
A00117,V0012,M023,2025-03-22,2025-03,66,Mobile,Android
A00118,V0012,M014,2025-03-06,2025-03,88,Tablet,Web
A00119,V0012,M020,2025-03-12,2025-03,70,TV,SmartTV
A00120,V0012,M018,2025-05-04,2025-05,67,Tablet,Web
A00121,V0012,M010,2025-03-30,2025-03,70,TV,iOS
A00122,V0012,M024,2025-02-28,2025-02,40,Mobile,Android
A00123,V0012,M017,2025-04-13,2025-04,90,Mobile,Android
A00124,V0012,M013,2025-01-02,2025-01,38,Tablet,SmartTV
A00125,V0012,M003,2025-01-17,2025-01,48,Laptop,iOS
A00126,V0012,M020,2025-01-10,2025-01,69,Tablet,Web
A00127,V0012,M023,2025-01-15,2025-01,83,Tablet,iOS
A00128,V0013,M022,2025-03-15,2025-03,24,TV,Android
A00129,V0013,M022,2025-01-10,2025-01,50,Mobile,Android
A00130,V0013,M003,2025-03-12,2025-03,65,Tablet,SmartTV
A00131,V0013,M019,2025-02-21,2025-02,21,Mobile,iOS
A00132,V0013,M018,2025-03-14,2025-03,91,Laptop,Web
A00133,V0013,M009,2025-02-27,2025-02,44,Tablet,SmartTV
A00134,V0013,M019,2025-01-02,2025-01,42,Tablet,iOS
A00135,V0013,M018,2025-01-19,2025-01,57,Laptop,iOS
A00136,V0014,M009,2025-03-06,2025-03,76,Tablet,SmartTV
A00137,V0014,M025,2025-03-04,2025-03,78,Tablet,iOS
A00138,V0014,M016,2025-01-30,2025-01,28,Tablet,Android
A00139,V0014,M022,2025-02-28,2025-02,72,Laptop,iOS
A00140,V0014,M023,2025-03-09,2025-03,56,Mobile,SmartTV
A00141,V0014,M022,2025-03-29,2025-03,90,TV,SmartTV
A00142,V0014,M011,2025-04-01,2025-04,93,Laptop,Android
A00143,V0014,M024,2025-02-18,2025-02,45,TV,Android
A00144,V0014,M009,2025-02-22,2025-02,45,TV,Web
A00145,V0014,M005,2025-01-28,2025-01,30,Tablet,iOS
A00146,V0014,M025,2025-01-11,2025-01,67,Laptop,SmartTV
A00147,V0014,M019,2025-03-12,2025-03,43,Laptop,SmartTV
A00148,V0014,M008,2025-02-02,2025-02,87,Tablet,SmartTV
A00149,V0014,M018,2025-01-09,2025-01,64,Tablet,Android
A00150,V0014,M015,2025-01-31,2025-01,86,Tablet,Web
A00151,V0014,M023,2025-01-03,2025-01,46,Tablet,iOS
A00152,V0014,M011,2025-04-03,2025-04,53,TV,Web
A00153,V0014,M008,2025-03-10,2025-03,98,Laptop,Web
A00154,V0015,M016,2025-04-19,2025-04,73,Laptop,Web
A00155,V0015,M013,2025-03-13,2025-03,43,TV,Android
A00156,V0015,M004,2025-03-11,2025-03,91,Tablet,SmartTV
A00157,V0015,M007,2025-02-07,2025-02,39,Tablet,iOS
A00158,V0015,M006,2025-04-18,2025-04,37,Laptop,SmartTV
A00159,V0015,M010,2025-03-06,2025-03,92,Mobile,SmartTV
A00160,V0015,M004,2025-02-11,2025-02,47,Laptop,SmartTV
A00161,V0016,M015,2025-03-27,2025-03,66,Laptop,Web
A00162,V0016,M012,2025-01-06,2025-01,35,Laptop,Android
A00163,V0016,M019,2025-02-14,2025-02,65,Laptop,SmartTV
A00164,V0016,M025,2025-04-25,2025-04,68,Laptop,SmartTV
A00165,V0016,M021,2025-02-07,2025-02,63,Tablet,SmartTV
A00166,V0017,M003,2025-02-11,2025-02,49,Laptop,Web
A00167,V0017,M021,2025-03-16,2025-03,54,Tablet,Web
A00168,V0017,M015,2025-04-03,2025-04,95,Tablet,SmartTV
A00169,V0017,M006,2025-02-17,2025-02,36,TV,Web
A00170,V0018,M007,2025-02-12,2025-02,33,Mobile,iOS
A00171,V0018,M016,2025-01-14,2025-01,70,Mobile,iOS
A00172,V0018,M009,2025-02-09,2025-02,69,Laptop,Android
A00173,V0018,M008,2025-03-14,2025-03,100,TV,Android
A00174,V0019,M006,2025-01-08,2025-01,65,Laptop,SmartTV
A00175,V0019,M015,2025-03-11,2025-03,76,TV,Android
A00176,V0019,M019,2025-04-27,2025-04,92,Tablet,Web
A00177,V0019,M012,2025-05-04,2025-05,49,Mobile,SmartTV
A00178,V0019,M010,2025-04-04,2025-04,53,TV,Web
A00179,V0019,M001,2025-01-01,2025-01,37,Laptop,Web
A00180,V0019,M016,2025-01-03,2025-01,82,Tablet,Web
A00181,V0019,M001,2025-04-21,2025-04,96,TV,iOS
A00182,V0019,M018,2025-04-06,2025-04,72,Tablet,SmartTV
A00183,V0019,M008,2025-02-11,2025-02,69,Tablet,Android
A00184,V0019,M009,2025-01-21,2025-01,100,TV,Web
A00185,V0019,M010,2025-03-10,2025-03,44,Mobile,Android
A00186,V0019,M005,2025-03-16,2025-03,78,Tablet,Web
A00187,V0019,M023,2025-05-06,2025-05,61,Mobile,Android
A00188,V0019,M002,2025-01-06,2025-01,33,Laptop,Web
A00189,V0019,M005,2025-04-23,2025-04,21,TV,iOS
A00190,V0019,M005,2025-01-04,2025-01,47,Laptop,SmartTV
A00191,V0019,M010,2025-05-08,2025-05,79,Mobile,Web
A00192,V0020,M025,2025-02-07,2025-02,54,Tablet,iOS
A00193,V0020,M018,2025-05-01,2025-05,44,Laptop,SmartTV
A00194,V0020,M001,2025-02-01,2025-02,51,Tablet,SmartTV
A00195,V0020,M008,2025-01-09,2025-01,78,Mobile,Android
A00196,V0021,M013,2025-03-21,2025-03,40,Mobile,iOS
A00197,V0021,M009,2025-05-04,2025-05,58,TV,Web
A00198,V0021,M002,2025-02-25,2025-02,50,Tablet,Web
A00199,V0021,M001,2025-02-12,2025-02,94,Mobile,SmartTV
A00200,V0021,M008,2025-01-03,2025-01,94,Tablet,Android
A00201,V0021,M012,2025-01-23,2025-01,40,Tablet,iOS
A00202,V0021,M022,2025-03-28,2025-03,27,Mobile,Web
A00203,V0021,M021,2025-02-09,2025-02,88,Mobile,Android
A00204,V0021,M016,2025-03-01,2025-03,91,Laptop,SmartTV
A00205,V0021,M024,2025-02-19,2025-02,68,Laptop,Android
A00206,V0021,M009,2025-01-11,2025-01,76,Laptop,SmartTV
A00207,V0021,M007,2025-02-17,2025-02,64,Laptop,SmartTV
A00208,V0021,M009,2025-02-11,2025-02,87,TV,SmartTV
A00209,V0021,M010,2025-03-09,2025-03,66,Tablet,iOS
A00210,V0021,M025,2025-04-08,2025-04,43,Mobile,Web
A00211,V0021,M025,2025-03-03,2025-03,28,Tablet,Android
A00212,V0021,M017,2025-05-08,2025-05,39,Laptop,Web
A00213,V0022,M021,2025-03-24,2025-03,32,Mobile,iOS
A00214,V0022,M005,2025-02-15,2025-02,45,Mobile,SmartTV
A00215,V0022,M007,2025-01-26,2025-01,93,Tablet,SmartTV
A00216,V0022,M017,2025-03-07,2025-03,66,TV,iOS
A00217,V0022,M001,2025-02-23,2025-02,82,Mobile,SmartTV
A00218,V0022,M021,2025-01-16,2025-01,91,Tablet,Web
A00219,V0022,M023,2025-01-15,2025-01,54,Mobile,iOS
A00220,V0022,M010,2025-01-20,2025-01,86,Mobile,iOS
A00221,V0022,M024,2025-03-01,2025-03,69,TV,Android
A00222,V0022,M017,2025-03-05,2025-03,100,TV,SmartTV
A00223,V0022,M024,2025-01-28,2025-01,93,Laptop,SmartTV
A00224,V0022,M023,2025-04-20,2025-04,41,TV,SmartTV
A00225,V0022,M017,2025-03-28,2025-03,40,Tablet,Web
A00226,V0022,M011,2025-03-25,2025-03,72,Tablet,Web
A00227,V0022,M020,2025-03-03,2025-03,89,TV,SmartTV
A00228,V0023,M024,2025-03-07,2025-03,77,Tablet,SmartTV
A00229,V0023,M001,2025-01-09,2025-01,96,Mobile,Android
A00230,V0023,M010,2025-01-02,2025-01,48,TV,Web
A00231,V0023,M001,2025-03-12,2025-03,85,TV,iOS
A00232,V0023,M002,2025-04-28,2025-04,39,TV,Web
A00233,V0023,M012,2025-03-05,2025-03,52,Laptop,iOS
A00234,V0023,M019,2025-04-13,2025-04,47,Mobile,Web
A00235,V0023,M016,2025-02-14,2025-02,93,Mobile,Web
A00236,V0023,M002,2025-04-08,2025-04,27,Laptop,Web
A00237,V0023,M014,2025-04-17,2025-04,49,Mobile,SmartTV
A00238,V0023,M002,2025-03-20,2025-03,25,Laptop,Android
A00239,V0023,M011,2025-02-26,2025-02,26,Tablet,SmartTV
A00240,V0023,M025,2025-01-24,2025-01,75,Laptop,SmartTV
A00241,V0023,M005,2025-02-03,2025-02,30,Tablet,iOS
A00242,V0023,M018,2025-04-13,2025-04,30,Tablet,SmartTV
A00243,V0023,M025,2025-02-03,2025-02,81,TV,SmartTV
A00244,V0023,M013,2025-02-20,2025-02,98,TV,Android
A00245,V0023,M003,2025-03-10,2025-03,61,Mobile,iOS
A00246,V0023,M022,2025-04-16,2025-04,66,Laptop,Android
A00247,V0024,M012,2025-01-07,2025-01,41,Laptop,SmartTV
A00248,V0024,M020,2025-02-07,2025-02,25,TV,Android
A00249,V0024,M022,2025-04-06,2025-04,30,Mobile,iOS
A00250,V0024,M008,2025-02-07,2025-02,21,Laptop,iOS
A00251,V0024,M010,2025-04-26,2025-04,22,Laptop,Android
A00252,V0024,M024,2025-02-24,2025-02,89,Laptop,SmartTV
A00253,V0024,M020,2025-02-06,2025-02,22,Tablet,iOS
A00254,V0024,M009,2025-02-13,2025-02,56,TV,Web
A00255,V0024,M002,2025-04-30,2025-04,21,Mobile,SmartTV
A00256,V0024,M022,2025-03-11,2025-03,66,Mobile,iOS
A00257,V0024,M010,2025-04-09,2025-04,68,Mobile,Web
A00258,V0024,M016,2025-01-23,2025-01,45,Tablet,iOS
A00259,V0025,M008,2025-03-20,2025-03,82,Tablet,Android
A00260,V0025,M001,2025-03-30,2025-03,65,Laptop,Web
A00261,V0025,M008,2025-03-12,2025-03,100,Laptop,SmartTV
A00262,V0026,M018,2025-03-13,2025-03,39,Laptop,SmartTV
A00263,V0026,M022,2025-02-05,2025-02,68,TV,SmartTV
A00264,V0027,M019,2025-02-09,2025-02,59,Laptop,SmartTV
A00265,V0027,M018,2025-02-03,2025-02,37,TV,Android
A00266,V0027,M010,2025-02-04,2025-02,38,TV,Web
A00267,V0027,M003,2025-01-31,2025-01,60,TV,iOS
A00268,V0027,M025,2025-03-23,2025-03,72,Laptop,SmartTV
A00269,V0027,M024,2025-03-12,2025-03,44,Mobile,Android
A00270,V0027,M006,2025-01-07,2025-01,98,Laptop,Android
A00271,V0027,M020,2025-03-01,2025-03,23,Laptop,iOS
A00272,V0027,M023,2025-05-03,2025-05,84,Tablet,Web
A00273,V0028,M013,2025-05-06,2025-05,37,TV,Android
A00274,V0028,M008,2025-01-09,2025-01,21,Laptop,SmartTV
A00275,V0028,M008,2025-02-21,2025-02,28,TV,SmartTV
A00276,V0028,M020,2025-05-06,2025-05,61,Tablet,Android
A00277,V0028,M014,2025-04-14,2025-04,97,Tablet,Web
A00278,V0028,M013,2025-01-10,2025-01,33,Tablet,SmartTV
A00279,V0028,M002,2025-03-04,2025-03,88,Tablet,iOS
A00280,V0029,M013,2025-01-13,2025-01,57,Tablet,SmartTV
A00281,V0029,M010,2025-03-15,2025-03,41,Tablet,Web
A00282,V0029,M020,2025-01-14,2025-01,86,TV,SmartTV
A00283,V0029,M021,2025-04-26,2025-04,84,Mobile,Android
A00284,V0029,M025,2025-02-04,2025-02,72,Laptop,SmartTV
A00285,V0029,M001,2025-02-15,2025-02,95,TV,SmartTV
A00286,V0029,M003,2025-03-06,2025-03,40,Mobile,iOS
A00287,V0029,M004,2025-04-26,2025-04,66,Mobile,SmartTV
A00288,V0029,M024,2025-02-10,2025-02,90,Tablet,iOS
A00289,V0029,M025,2025-02-13,2025-02,92,TV,Android
A00290,V0029,M005,2025-02-15,2025-02,26,Tablet,Web
A00291,V0029,M010,2025-04-25,2025-04,100,TV,iOS
A00292,V0029,M005,2025-02-21,2025-02,99,Laptop,iOS
A00293,V0029,M015,2025-05-08,2025-05,89,Mobile,SmartTV
A00294,V0029,M008,2025-02-25,2025-02,80,Tablet,SmartTV
A00295,V0029,M015,2025-01-21,2025-01,96,Mobile,Android
A00296,V0029,M018,2025-03-13,2025-03,100,TV,iOS
A00297,V0029,M006,2025-02-07,2025-02,64,Mobile,Android
A00298,V0029,M002,2025-03-18,2025-03,31,Mobile,iOS
A00299,V0030,M006,2025-02-11,2025-02,56,TV,SmartTV
A00300,V0030,M024,2025-04-03,2025-04,31,Laptop,Web
A00301,V0030,M012,2025-04-08,2025-04,74,Mobile,Web
A00302,V0030,M016,2025-02-04,2025-02,55,Laptop,SmartTV
A00303,V0030,M017,2025-02-23,2025-02,46,Mobile,iOS
A00304,V0030,M019,2025-01-23,2025-01,97,Laptop,SmartTV
A00305,V0030,M020,2025-03-23,2025-03,87,Laptop,Android
A00306,V0030,M020,2025-05-08,2025-05,100,Tablet,SmartTV
A00307,V0030,M006,2025-03-01,2025-03,57,TV,iOS
A00308,V0030,M004,2025-01-07,2025-01,100,Mobile,Android
A00309,V0030,M020,2025-04-17,2025-04,25,Laptop,Web
A00310,V0030,M018,2025-02-24,2025-02,45,Laptop,Web
A00311,V0030,M003,2025-03-20,2025-03,84,Laptop,iOS
A00312,V0030,M004,2025-03-27,2025-03,70,Mobile,Android
A00313,V0030,M007,2025-03-26,2025-03,81,Tablet,iOS
A00314,V0031,M016,2025-02-09,2025-02,78,Laptop,SmartTV
A00315,V0031,M014,2025-01-15,2025-01,58,Laptop,iOS
A00316,V0031,M007,2025-03-26,2025-03,28,TV,Web
A00317,V0031,M001,2025-03-28,2025-03,100,TV,SmartTV
A00318,V0031,M006,2025-01-30,2025-01,60,Mobile,Web
A00319,V0031,M014,2025-01-23,2025-01,50,Laptop,SmartTV
A00320,V0032,M007,2025-03-19,2025-03,34,Laptop,iOS
A00321,V0032,M025,2025-02-21,2025-02,76,Mobile,SmartTV
A00322,V0032,M017,2025-02-09,2025-02,63,Tablet,Web
A00323,V0032,M025,2025-03-25,2025-03,32,TV,Android
A00324,V0032,M024,2025-01-10,2025-01,69,Mobile,iOS
A00325,V0032,M010,2025-01-12,2025-01,96,Mobile,Web
A00326,V0032,M015,2025-01-12,2025-01,86,Laptop,iOS
A00327,V0032,M019,2025-03-21,2025-03,46,Laptop,Android
A00328,V0032,M007,2025-03-15,2025-03,88,Laptop,SmartTV
A00329,V0032,M022,2025-01-31,2025-01,39,TV,Web
A00330,V0032,M004,2025-01-04,2025-01,91,Mobile,Android
A00331,V0033,M012,2025-03-23,2025-03,38,Laptop,Android
A00332,V0033,M006,2025-01-19,2025-01,98,Laptop,SmartTV
A00333,V0033,M002,2025-02-03,2025-02,80,Mobile,iOS
A00334,V0033,M013,2025-01-14,2025-01,74,Tablet,Android
A00335,V0033,M023,2025-04-25,2025-04,65,Laptop,Web
A00336,V0033,M007,2025-01-21,2025-01,92,TV,iOS
A00337,V0033,M023,2025-04-30,2025-04,78,Laptop,SmartTV
A00338,V0033,M016,2025-03-01,2025-03,38,Laptop,Web
A00339,V0033,M013,2025-02-16,2025-02,62,Laptop,SmartTV
A00340,V0033,M016,2025-01-08,2025-01,80,Mobile,Web
A00341,V0033,M016,2025-04-29,2025-04,56,Laptop,Android
A00342,V0033,M017,2025-01-27,2025-01,33,Laptop,iOS
A00343,V0033,M010,2025-04-29,2025-04,95,Tablet,Android
A00344,V0033,M020,2025-03-04,2025-03,40,Tablet,SmartTV
A00345,V0033,M003,2025-03-29,2025-03,95,Tablet,SmartTV
A00346,V0033,M019,2025-03-29,2025-03,50,TV,iOS
A00347,V0033,M024,2025-05-05,2025-05,95,Tablet,Web
A00348,V0033,M018,2025-01-25,2025-01,42,Laptop,SmartTV
A00349,V0033,M003,2025-01-28,2025-01,96,Tablet,Web
A00350,V0034,M021,2025-01-16,2025-01,47,TV,iOS
A00351,V0034,M025,2025-02-07,2025-02,39,Tablet,Web
A00352,V0034,M013,2025-04-25,2025-04,46,Laptop,Web
A00353,V0034,M019,2025-03-19,2025-03,64,Mobile,iOS
A00354,V0034,M020,2025-04-14,2025-04,57,Mobile,Web
A00355,V0034,M018,2025-01-14,2025-01,91,Laptop,iOS
A00356,V0034,M010,2025-01-08,2025-01,75,Tablet,Web
A00357,V0034,M023,2025-04-08,2025-04,68,Tablet,Android
A00358,V0034,M022,2025-02-14,2025-02,37,TV,SmartTV
A00359,V0034,M012,2025-04-17,2025-04,56,TV,Android
A00360,V0034,M001,2025-01-19,2025-01,22,TV,SmartTV
A00361,V0034,M022,2025-04-22,2025-04,30,TV,SmartTV
A00362,V0034,M015,2025-04-19,2025-04,43,Tablet,SmartTV
A00363,V0034,M018,2025-04-26,2025-04,65,TV,Android
A00364,V0034,M014,2025-01-02,2025-01,83,TV,Web
A00365,V0034,M014,2025-04-04,2025-04,24,Tablet,Web
A00366,V0034,M004,2025-05-04,2025-05,30,TV,Web
A00367,V0035,M017,2025-01-21,2025-01,98,Mobile,Android
A00368,V0035,M016,2025-01-20,2025-01,89,Laptop,iOS
A00369,V0035,M011,2025-01-03,2025-01,78,Tablet,Web
A00370,V0035,M014,2025-04-01,2025-04,57,TV,iOS
A00371,V0035,M023,2025-03-19,2025-03,92,Laptop,iOS
A00372,V0035,M021,2025-05-02,2025-05,41,Mobile,Web
A00373,V0035,M024,2025-01-07,2025-01,82,Mobile,Android
A00374,V0035,M017,2025-01-20,2025-01,52,TV,Web
A00375,V0035,M009,2025-03-07,2025-03,34,TV,Android
A00376,V0035,M022,2025-04-25,2025-04,42,Laptop,Android
A00377,V0035,M016,2025-02-16,2025-02,24,Laptop,iOS
A00378,V0035,M005,2025-02-09,2025-02,72,Tablet,Android
A00379,V0035,M022,2025-04-23,2025-04,41,TV,Web
A00380,V0035,M002,2025-03-09,2025-03,26,TV,SmartTV
A00381,V0035,M013,2025-05-02,2025-05,80,TV,SmartTV
A00382,V0035,M022,2025-04-10,2025-04,53,TV,SmartTV
A00383,V0036,M010,2025-04-25,2025-04,60,Mobile,iOS
A00384,V0036,M018,2025-04-01,2025-04,98,Laptop,Web
A00385,V0037,M009,2025-01-26,2025-01,94,Tablet,SmartTV
A00386,V0037,M025,2025-03-03,2025-03,95,TV,Web
A00387,V0037,M022,2025-02-16,2025-02,90,Mobile,iOS
A00388,V0037,M003,2025-01-04,2025-01,32,Mobile,SmartTV
A00389,V0037,M012,2025-02-26,2025-02,56,Laptop,Android
A00390,V0037,M002,2025-01-07,2025-01,31,Mobile,Android
A00391,V0037,M020,2025-02-01,2025-02,35,Mobile,Android
A00392,V0037,M013,2025-02-17,2025-02,43,Laptop,Web
A00393,V0037,M015,2025-01-20,2025-01,78,Laptop,SmartTV
A00394,V0037,M023,2025-03-24,2025-03,40,Mobile,Web
A00395,V0038,M013,2025-04-10,2025-04,27,Laptop,Web
A00396,V0038,M006,2025-04-23,2025-04,82,TV,SmartTV
A00397,V0038,M006,2025-05-06,2025-05,38,Tablet,Android
A00398,V0039,M015,2025-03-08,2025-03,24,Mobile,iOS
A00399,V0039,M019,2025-03-06,2025-03,22,Tablet,Android
A00400,V0039,M021,2025-01-01,2025-01,69,Laptop,Android
A00401,V0039,M023,2025-03-26,2025-03,93,Mobile,SmartTV
A00402,V0039,M016,2025-04-22,2025-04,28,TV,iOS
A00403,V0040,M023,2025-05-04,2025-05,92,Laptop,Web
A00404,V0040,M022,2025-03-19,2025-03,27,Mobile,Web
A00405,V0040,M018,2025-03-29,2025-03,78,Laptop,Android
A00406,V0040,M006,2025-01-11,2025-01,44,Laptop,SmartTV
A00407,V0040,M004,2025-04-02,2025-04,30,Tablet,Android
A00408,V0040,M005,2025-01-10,2025-01,23,TV,SmartTV
A00409,V0040,M013,2025-01-17,2025-01,59,Tablet,SmartTV
A00410,V0040,M001,2025-01-10,2025-01,27,Laptop,iOS
A00411,V0040,M013,2025-01-31,2025-01,86,Tablet,Android
A00412,V0040,M024,2025-03-01,2025-03,24,TV,SmartTV
A00413,V0040,M021,2025-01-05,2025-01,99,Mobile,Android
A00414,V0040,M023,2025-02-03,2025-02,42,Mobile,Web
